iter	Passed	Remaining
657	9028	4692
658	9040	4678
659	9053	4663
660	9069	4651
661	9082	4637
662	9095	4623
663	9107	4608
664	9122	4595
665	9135	4581
666	9148	4567
667	9165	4555
668	9178	4541
669	9191	4527
670	9205	4513
671	9218	4499
672	9231	4485
673	9245	4471
674	9258	4457
675	9272	4444
676	9285	4430
677	9298	4416
678	9311	4402
679	9328	4389
680	9341	4375
681	9354	4361
682	9367	4347
683	9380	4333
684	9392	4319
685	9405	4305
686	9418	4290
687	9431	4277
688	9446	4264
689	9459	4249
690	9471	4235
691	9484	4221
692	9496	4207
693	9509	4193
694	9522	4178
695	9534	4164
696	9547	4150
697	9559	4136
698	9574	4123
699	9588	4109
700	9602	4095
701	9614	4081
702	9628	4067
703	9641	4053
704	9654	4039
705	9666	4025
706	9679	4011
707	9691	3997
708	9705	3983
709	9717	3969
710	9730	3955
711	9745	3942
712	9759	3928
713	9773	3915
714	9788	3901
715	9802	3888
716	9814	3873
717	9829	3860
718	9844	3847
719	9857	3833
720	9871	3819
721	9884	3805
722	9896	3791
723	9909	3777
724	9922	3763
725	9935	3749
726	9947	3735
727	9960	3721
728	9972	3707
729	9984	3692
730	9997	3678
731	10009	3664
732	10022	3650
733	10034	3636
734	10047	3622
735	10060	3608
736	10073	3594
737	10086	3580
738	10101	3567
739	10115	3553
740	10127	3540
741	10141	3526
742	10153	3512
743	10167	3498
744	10180	3484
745	10192	3470
746	10204	3456
747	10217	3442
748	10230	3428
749	10243	3414
750	10255	3400
751	10269	3386
752	10281	3372
753	10296	3359
754	10309	3345
755	10322	3331
756	10336	3318
757	10353	3305
758	10367	3291
759	10380	3278
760	10395	3264
761	10408	3251
762	10422	3237
763	10437	3224
764	10449	3210
765	10462	3196
766	10475	3182
767	10487	3168
768	10499	3154
769	10512	3140
770	10524	3126
771	10537	3112
772	10550	3098
773	10562	3084
774	10575	3070
775	10588	3056
776	10603	3043
777	10617	3029
778	10629	3015
779	10643	3002
780	10656	2988
781	10670	2974
782	10685	2961
783	10699	2947
784	10712	2933
785	10725	2920
786	10739	2906
787	10752	2892
788	10767	2879
789	10781	2865
790	10793	2851
791	10807	2838
792	10821	2824
793	10834	2811
794	10847	2797
795	10863	2784
796	10877	2770
797	10890	2756
798	10903	2742
799	10917	2729
800	10931	2715
801	10946	2702
802	10962	2689
803	10979	2676
804	10993	2662
805	11007	2649
806	11020	2635
807	11036	2622
808	11051	2609
809	11063	2595
810	11076	2581
811	11088	2567
812	11100	2553
813	11115	2539
814	11129	2526
815	11142	2512
816	11155	2498
817	11168	2484
818	11182	2471
819	11195	2457
820	11210	2444
821	11224	2430
822	11238	2417
823	11252	2403
824	11266	2389
825	11282	2376
826	11296	2363
827	11309	2349
828	11322	2335
829	11334	2321
830	11348	2307
831	11362	2294
832	11379	2281
833	11393	2267
834	11408	2254
835	11421	2240
836	11434	2226
837	11448	2213
838	11460	2199
839	11473	2185
840	11491	2172
841	11506	2159
842	11520	2145
843	11534	2131
844	11546	2118
845	11559	2104
846	11572	2090
847	11587	2076
848	11600	2063
849	11612	2049
850	11627	2035
851	11640	2022
852	11653	2008
853	11666	1994
854	11680	1980
855	11693	1967
856	11705	1953
857	11719	1939
858	11732	1925
859	11745	1912
860	11758	1898
861	11771	1884
862	11784	1870
863	11796	1856
864	11809	1843
865	11821	1829
866	11834	1815
867	11847	1801
868	11861	1788
869	11875	1774
870	11891	1761
871	11904	1747
872	11918	1733
873	11931	1720
874	11945	1706
875	11958	1692
876	11971	1678
877	11984	1665
878	11997	1651
879	12009	1637
880	12022	1623
881	12034	1610
882	12047	1596
883	12060	1582
884	12072	1568
885	12084	1554
886	12098	1541
887	12111	1527
888	12124	1513
889	12140	1500
890	12154	1486
891	12166	1473
892	12180	1459
893	12192	1445
894	12205	1431
895	12218	1418
896	12230	1404
897	12243	1390
898	12256	1377
899	12269	1363
900	12281	1349
901	12294	1335
902	12306	1321
903	12319	1308
904	12332	1294
905	12345	1280
906	12359	1267
907	12372	1253
908	12391	1240
909	12407	1227
910	12421	1213
911	12435	1199
912	12449	1186
913	12463	1172
914	12476	1159
915	12490	1145
916	12502	1131
917	12515	1117
918	12527	1104
919	12540	1090
920	12552	1076
921	12565	1062
922	12577	1049
923	12590	1035
924	12603	1021
925	12615	1008
926	12628	994
927	12642	980
928	12658	967
929	12672	953
930	12686	940
931	12698	926
932	12712	912
933	12725	899
934	12738	885
935	12751	871
936	12764	858
937	12776	844
938	12789	830
939	12802	817
940	12814	803
941	12827	789
942	12840	776
943	12853	762
944	12866	748
945	12879	735
946	12892	721
947	12909	708
948	12923	694
949	12937	680
950	12950	667
951	12963	653
952	12976	639
953	12989	626
954	13002	612
955	13014	599
956	13026	585
957	13039	571
958	13052	558
959	13067	544
960	13082	530
961	13098	517
962	13112	503
963	13124	490
964	13137	476
965	13150	462
966	13166	449
967	13179	435
968	13192	422
969	13205	408
970	13218	394
971	13231	381
